club_name,event_attending,event_date,event_day
,,2019-05-15,Wed
,,2019-05-15,Wed
://about blank,93,2019-05-15,Wed
Schwuz,87,2019-05-15,Wed
Griessmuehle,83,2019-05-15,Wed
Paloma,72,2019-05-15,Wed
Watergate,62,2019-05-15,Wed
OHM,62,2019-05-15,Wed
Farbfernseher,35,2019-05-15,Wed
Tresor,32,2019-05-15,Wed
AVA Club,26,2019-05-15,Wed
Berghain | Panorama Bar | Säule,23,2019-05-15,Wed
Minimal Bar,22,2019-05-15,Wed
Süss War Gestern,20,2019-05-15,Wed
Crack Bellmer,16,2019-05-15,Wed
Club der Visionaere,10,2019-05-15,Wed
arkaoda Berlin,9,2019-05-15,Wed
Berghain | Panorama Bar | Säule,7,2019-05-15,Wed
KitKatClub,7,2019-05-15,Wed
Festsaal Kreuzberg,3,2019-05-15,Wed
Solar,2,2019-05-15,Wed
Loophole,2,2019-05-15,Wed
Promenaden Eck,2,2019-05-15,Wed
Maze,2,2019-05-15,Wed
Der Weiße Hase,2,2019-05-15,Wed
Cassiopeia,1,2019-05-15,Wed
Insomnia,1,2019-05-15,Wed
Klunkerkranich,1,2019-05-15,Wed
,,2019-05-22,Wed
,,2019-05-22,Wed
Watergate,150,2019-05-22,Wed
://about blank,108,2019-05-22,Wed
Griessmuehle,74,2019-05-22,Wed
Tresor,38,2019-05-22,Wed
AVA Club,23,2019-05-22,Wed
Süss War Gestern,19,2019-05-22,Wed
Minimal Bar,19,2019-05-22,Wed
Farbfernseher,16,2019-05-22,Wed
Funkhaus Berlin,12,2019-05-22,Wed
Club der Visionaere,8,2019-05-22,Wed
Monarch,8,2019-05-22,Wed
Panke,4,2019-05-22,Wed
KitKatClub,3,2019-05-22,Wed
Promenaden Eck,3,2019-05-22,Wed
Solar,2,2019-05-22,Wed
Yaam Berlin,2,2019-05-22,Wed
Nirgendwo,2,2019-05-22,Wed
Cassiopeia,1,2019-05-22,Wed
Ausland,1,2019-05-22,Wed
Motif Wein,1,2019-05-22,Wed
Insomnia,1,2019-05-22,Wed
Panke,1,2019-05-22,Wed
,,2019-05-18,Sat
,,2019-05-18,Sat
Insel Lindwerder,1051,2019-05-18,Sat
Griessmuehle,545,2019-05-18,Sat
Wendel,1,2019-05-22,Wed
Loophole,,2019-05-22,Wed
,,2019-05-20,Mon
,,2019-05-20,Mon
KitKatClub,31,2019-05-20,Mon
Tresor,28,2019-05-20,Mon
Der Weiße Hase,25,2019-05-20,Mon
Berghain | Panorama Bar | Säule,167,2019-05-18,Sat
[ipsə],156,2019-05-18,Sat
Polygon Club,135,2019-05-18,Sat
Osthafen,112,2019-05-18,Sat
Burg Schnabel,105,2019-05-18,Sat
://about blank,102,2019-05-18,Sat
Suicide Circus,91,2019-05-18,Sat
Farbfernseher,72,2019-05-18,Sat
,,2019-05-21,Tue
,,2019-05-21,Tue
Suicide Circus,89,2019-05-21,Tue
Mein Haus Am See,31,2019-05-21,Tue
Void Club,29,2019-05-21,Tue
Minimal Bar,28,2019-05-21,Tue
Club der Visionaere,16,2019-05-21,Tue
Crack Bellmer,22,2019-05-20,Mon
[ipsə],19,2019-05-20,Mon
Minimal Bar,16,2019-05-20,Mon
Funkhaus Berlin,12,2019-05-20,Mon
Club der Visionaere,7,2019-05-20,Mon
Süss War Gestern,4,2019-05-20,Mon
Promenaden Eck,4,2019-05-20,Mon
arkaoda Berlin,1,2019-05-20,Mon
,1,2019-05-20,Mon
Kater Blau,70,2019-05-18,Sat
Salon Zur Wilden Renate,55,2019-05-18,Sat
Tresor,49,2019-05-18,Sat
Ritter Butzke,46,2019-05-18,Sat
ORWO Haus,33,2019-05-18,Sat
Bi Nuu,29,2019-05-18,Sat
AVA Club,28,2019-05-18,Sat
OHM,28,2019-05-18,Sat
Watergate,26,2019-05-18,Sat
,,2019-05-16,Thu
,,2019-05-16,Thu
Salon Zur Wilden Renate,129,2019-05-16,Thu
://about blank,117,2019-05-16,Thu
Süss War Gestern,15,2019-05-21,Tue
Promenaden Eck,14,2019-05-21,Tue
Funkhaus Berlin,12,2019-05-21,Tue
Humboldthain Club,6,2019-05-21,Tue
Klunkerkranich,4,2019-05-21,Tue
Cassiopeia,2,2019-05-21,Tue
Maze,1,2019-05-21,Tue
,,2019-05-19,Sun
,,2019-05-19,Sun
Griessmuehle,545,2019-05-19,Sun
Else,263,2019-05-19,Sun
Berghain | Panorama Bar | Säule,167,2019-05-19,Sun
,,2019-05-17,Fri
,,2019-05-17,Fri
Griessmuehle,545,2019-05-17,Fri
Ritter Butzke,168,2019-05-17,Fri
Paloma,19,2019-05-18,Sat
Urban Spree,18,2019-05-18,Sat
Minimal Bar,17,2019-05-18,Sat
Der Weiße Hase,17,2019-05-18,Sat
Crack Bellmer,17,2019-05-18,Sat
Sisyphos,15,2019-05-18,Sat
Void Club,13,2019-05-18,Sat
Cosmic Kaspar,12,2019-05-18,Sat
Griessmuehle,50,2019-05-16,Thu
Berghain | Panorama Bar | Säule,47,2019-05-16,Thu
Paloma,47,2019-05-16,Thu
OHM,46,2019-05-16,Thu
Klunkerkranich,26,2019-05-16,Thu
Berghain | Panorama Bar | Säule,23,2019-05-16,Thu
Minimal Bar,22,2019-05-16,Thu
Watergate,19,2019-05-16,Thu
Club der Visionaere,18,2019-05-16,Thu
Zu Mir Oder Zu Dir,17,2019-05-16,Thu
Polygon Club,135,2019-05-19,Sun
://about blank,102,2019-05-19,Sun
Suicide Circus,84,2019-05-19,Sun
Kater Blau,70,2019-05-19,Sun
://about blank,43,2019-05-19,Sun
Osthafen,39,2019-05-19,Sun
Hoppetosse,19,2019-05-19,Sun
Minimal Bar,18,2019-05-19,Sun
Der Weiße Hase,17,2019-05-19,Sun
Sisyphos,15,2019-05-19,Sun
Birgit,134,2019-05-17,Fri
Salon Zur Wilden Renate,129,2019-05-17,Fri
Gretchen,102,2019-05-17,Fri
://about blank,102,2019-05-17,Fri
Berta Berlin,72,2019-05-17,Fri
Maze,70,2019-05-17,Fri
Salon Zur Wilden Renate,66,2019-05-17,Fri
Suicide Circus,54,2019-05-17,Fri
Sisyphos,12,2019-05-18,Sat
,11,2019-05-18,Sat
Sameheads,10,2019-05-18,Sat
Paloma,8,2019-05-18,Sat
KitKatClub,7,2019-05-18,Sat
Loophole,7,2019-05-18,Sat
Mensch Meier,6,2019-05-18,Sat
arkaoda Berlin,6,2019-05-18,Sat
Farbfernseher,17,2019-05-16,Thu
Golden Gate,14,2019-05-16,Thu
,14,2019-05-16,Thu
Crack Bellmer,12,2019-05-16,Thu
Der Weiße Hase,11,2019-05-16,Thu
Void Club,7,2019-05-16,Thu
Humboldthain Club,6,2019-05-16,Thu
AVA Club,5,2019-05-16,Thu
Gretchen,4,2019-05-16,Thu
Berta Berlin,4,2019-05-16,Thu
Burg Schnabel,13,2019-05-19,Sun
Club der Visionaere,12,2019-05-19,Sun
,11,2019-05-19,Sun
AVA Club,7,2019-05-19,Sun
Ritter Butzke,4,2019-05-19,Sun
Badeschiff,4,2019-05-19,Sun
Klunkerkranich,3,2019-05-19,Sun
Promenaden Eck,3,2019-05-19,Sun
KitKatClub,3,2019-05-19,Sun
Mensch Meier,50,2019-05-17,Fri
Tresor,49,2019-05-17,Fri
Kater Blau,41,2019-05-17,Fri
Berghain | Panorama Bar | Säule,40,2019-05-17,Fri
OHM,37,2019-05-17,Fri
Anita Berber,23,2019-05-17,Fri
Fitzroy,23,2019-05-17,Fri
